State,Year,Population,Rural,Urban,Literacy,Sex_Ratio
Andaman & Nicobar Islands,1951,31,23,8.0,30.3,625
Andhra Pradesh,1951,31115,25695,5420.0,0.0,986
Arunachal Pradesh,1951,200,200,0.0,0.0,0
Assam,1951,8029,7684,345.0,18.53,868
Bihar,1951,29085,27219,1866.0,13.49,"1,000"
Chhattisgarh,1951,7457,7093,364.0,9.41,"1,024"
Dadra & Nagar Haveli,1951,42,42,0.0,0.0,946
Daman & Diu,1951,49,30,18.0,0.0,"1,125"
Delhi,1951,1744,307,1437.0,0.0,768
Goa,1951,547,477,71.0,23.48,"1,128"
Gujarat,1951,16263,11835,4428.0,21.82,952
Haryana,1951,5674,4705,968.0,0.0,871
Himachal Pradesh,1951,2386,2232,154.0,0.0,912
Jammu & Kashmir,1951,3254,2797,457.0,0.0,873
Jharkhand,1951,9697,8937,760.0,12.93,961
Karnataka,1951,19402,14948,4453.0,0.0,966
Kerala,1951,13549,11723,1826.0,47.18,"1,028"
Lakshadweep,1951,21,21,0.0,15.23,"1,043"
Madhya Pradesh,1951,18615,15846,2769.0,13.16,945
Maharashtra,1951,32003,22802,9201.0,27.91,941
Manipur,1951,578,575,3.0,12.57,"1,036"
Meghalaya,1951,606,547,59.0,0.0,949
Mizoram,1951,196,189,7.0,31.14,"1,041"
Nagaland,1951,213,209,4.0,10.52,999
Odisha,1951,14646,14052,594.0,15.8,"1,022"
Puducherry,1951,317,317,0.0,0.0,"1,030"
Punjab,1951,9161,7171,1989.0,0.0,844
Rajasthan,1951,15971,13015,2955.0,8.5,921
Sikkim,1951,138,135,3.0,0.0,907
Tamil Nadu,1951,30119,22786,7334.0,0.0,"1,007"
Tripura,1951,639,596,43.0,0.0,904
Uttar Pradesh,1951,60274,52049,8225.0,12.02,908
Uttarakhand,1951,2946,2545,401.0,18.93,940
West Bengal,1951,26300,20018,6282.0,24.61,865
ALL INDIA,1951,361088,298644,62444.0,18.33,946
Andaman & Nicobar Islands,1961,64,49,14.0,40.07,617
Andhra Pradesh,1961,35983,29709,6275.0,21.19,981
Arunachal Pradesh,1961,337,337,0.0,7.13,894
Assam,1961,10837,10056,781.0,32.95,869
Bihar,1961,34841,32261,2581.0,21.95,"1,005"
Chandigarh,1961,120,21,99.0,0.0,652
Chhattisgarh,1961,9154,8392,763.0,18.14,"1,008"
Dadra & Nagar Haveli,1961,58,58,0.0,0.0,963
Daman & Diu,1961,37,23,13.0,0.0,"1,169"
Delhi,1961,2659,299,2359.0,61.95,785
Goa,1961,590,503,87.0,35.41,"1,066"
Gujarat,1961,20633,15317,5317.0,31.47,940
Haryana,1961,7591,6283,1308.0,0.0,868
Himachal Pradesh,1961,2812,2634,178.0,0.0,938
Jammu & Kashmir,1961,3561,2968,593.0,12.95,878
Jharkhand,1961,11606,10273,1333.0,21.14,960
Karnataka,1961,23587,18320,5266.0,29.8,959
Kerala,1961,16904,14350,2554.0,55.08,"1,022"
Lakshadweep,1961,24,24,0.0,27.15,"1,020"
Madhya Pradesh,1961,23218,19353,3865.0,21.41,932
Maharashtra,1961,39554,28391,11163.0,35.08,936
Manipur,1961,780,712,68.0,36.04,"1,015"
Meghalaya,1961,769,652,117.0,26.92,937
Mizoram,1961,266,252,14.0,44.01,"1,009"
Nagaland,1961,369,350,19.0,21.95,933
Odisha,1961,17549,16439,1110.0,21.66,"1,001"
Puducherry,1961,369,280,89.0,43.65,"1,013"
Punjab,1961,11135,8568,2567.0,0.0,854
Rajasthan,1961,20156,16874,3281.0,18.12,908
Sikkim,1961,162,155,7.0,0.0,904
Tamil Nadu,1961,33687,24696,8991.0,36.39,992
Tripura,1961,1142,1039,103.0,20.24,932
Uttar Pradesh,1961,70144,61160,8984.0,20.87,907
