Table name,State,District,Area Name,Last residence,"Last residence
Total/Rural/Urban/Country","Place of enumeration
Total/Rural/Urban",Total migrants-Persons,Total migrants-Males,Total migrants-Females,Duration (<1 year)-Persons,Duration (<1 year)-Males,Duration (<1 year)-Females,Duration (1-4 years)-Persons,Duration (1-4 years)-Males,Duration (1-4 years)-Females,Duration (5-9 years)-Persons,Duration (5-9 years)-Males,Duration (5-9 years)-Females,Duration (10-19 years)-Persons,Duration (10-19 years)-Males,Duration (10-19 years)-Females,Duration (20+ years)-Persons,Duration (20+ years)-Males,Duration (20+ years)-Females,Duration (not stated)-Persons,Duration (not stated)-Males,Duration (not stated)-Females
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Total,Total,Total,2809629.0,832333.0,1977296.0,141401.0,64404.0,76997.0,352840.0,102823.0,250017.0,334868.0,75873.0,258995.0,543015.0,115079.0,427936.0,861339.0,166057.0,695282.0,576166.0,308097.0,268069.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Total,Total,Rural,1827590.0,409781.0,1417809.0,98517.0,41835.0,56682.0,217757.0,44083.0,173674.0,222483.0,33419.0,189064.0,364639.0,50032.0,314607.0,608804.0,77608.0,531196.0,315390.0,162804.0,152586.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Total,Total,Urban,982039.0,422552.0,559487.0,42884.0,22569.0,20315.0,135083.0,58740.0,76343.0,112385.0,42454.0,69931.0,178376.0,65047.0,113329.0,252535.0,88449.0,164086.0,260776.0,145293.0,115483.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Total,Total,2773654.0,816573.0,1957081.0,140218.0,63792.0,76426.0,349305.0,101416.0,247889.0,332247.0,75080.0,257167.0,539261.0,113982.0,425279.0,842866.0,157728.0,685138.0,569757.0,304575.0,265182.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Total,Rural,1807250.0,401651.0,1405599.0,97796.0,41471.0,56325.0,215993.0,43542.0,172451.0,221004.0,33104.0,187900.0,362659.0,49678.0,312981.0,597741.0,72928.0,524813.0,312057.0,160928.0,151129.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Total,Urban,966404.0,414922.0,551482.0,42422.0,22321.0,20101.0,133312.0,57874.0,75438.0,111243.0,41976.0,69267.0,176602.0,64304.0,112298.0,245125.0,84800.0,160325.0,257700.0,143647.0,114053.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Rural,Total,1840320.0,398677.0,1441643.0,107596.0,47989.0,59607.0,254590.0,64682.0,189908.0,252602.0,48992.0,203610.0,419884.0,76258.0,343626.0,670332.0,104263.0,566069.0,135316.0,56493.0,78823.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Rural,Rural,1411095.0,233698.0,1177397.0,82671.0,34635.0,48036.0,180330.0,32060.0,148270.0,190261.0,25470.0,164791.0,319888.0,40422.0,279466.0,537154.0,61574.0,475580.0,100791.0,39537.0,61254.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Rural,Urban,429225.0,164979.0,264246.0,24925.0,13354.0,11571.0,74260.0,32622.0,41638.0,62341.0,23522.0,38819.0,99996.0,35836.0,64160.0,133178.0,42689.0,90489.0,34525.0,16956.0,17569.0
D0302,1.0,0.0,State - JAMMU & KASHMIR (01),Last residence within India,Urban,Total,549384.0,218222.0,331162.0,27360.0,13540.0,13820.0,80253.0,32042.0,48211.0,66527.0,22562.0,43965.0,99098.0,32252.0,66846.0,139691.0,43912.0,95779.0,136455.0,73914.0,62541.0
